loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_state,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,exception_required,exception_type
LN0000012,1,2020-12,2020-11,1,239,215542.0,214984.57,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2020-12-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,2,2021-01,2020-11,2,238,215542.0,214425.06,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-01-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,3,2021-02,2020-11,3,237,215542.0,213863.47,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-02-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,4,2021-03,2020-11,4,236,215542.0,213299.78,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-03-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,5,2021-04,2020-11,5,235,215542.0,212734.0,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-04-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,6,2021-05,2020-11,6,234,215542.0,212166.12,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-05-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,7,2021-06,2020-11,7,233,215542.0,211596.12,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-06-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,8,2021-07,2020-11,8,232,215542.0,211024.0,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-07-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,9,2021-08,2020-11,9,231,215542.0,210449.74,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-08-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,10,2021-09,2020-11,10,230,215542.0,209873.35,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-09-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,11,2021-10,2020-11,11,229,215542.0,209294.82,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-10-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,12,2021-11,2020-11,12,228,215542.0,208714.13,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-11-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,13,2021-12,2020-11,13,227,215542.0,208131.28,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2021-12-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,14,2022-01,2020-11,14,226,215542.0,207546.26,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-01-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,15,2022-02,2020-11,15,225,215542.0,206959.06,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-02-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,16,2022-03,2020-11,16,224,215542.0,206369.68,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-03-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,17,2022-04,2020-11,17,223,215542.0,205778.1,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-04-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,18,2022-05,2020-11,18,222,215542.0,205184.32,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-05-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,19,2022-06,2020-11,19,221,215542.0,204588.33,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-06-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,20,2022-07,2020-11,20,220,215542.0,203990.12,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-07-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,21,2022-08,2020-11,21,219,215542.0,203389.69,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-08-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,22,2022-09,2020-11,22,218,215542.0,202787.02,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-09-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,23,2022-10,2020-11,23,217,215542.0,202182.1,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-10-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,24,2022-11,2020-11,24,216,215542.0,201574.94,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-11-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000012,25,2022-12,2020-11,25,215,215542.0,200965.51,4.467,780+,70-80%,28-36%,NY,Home Improvement,Primary,Townhouse,Servicer_D,Current,0,0,0,0,,2022-12-01,Encompass,Under Exception,Current,0,0,0,0,0,
LN0000025,1,2022-09,2022-08,1,359,226606.0,226378.12,5.947,740-779,80-90%,<20%,GA,Purchase,Primary,Condo,Servicer_A,Current,0,0,0,0,,2022-09-01,CoreLogic,Complete,Current,0,0,0,0,0,
LN0000025,2,2022-10,2022-08,2,358,226606.0,226149.1,5.947,740-779,80-90%,<20%,GA,Purchase,Primary,Condo,Servicer_A,Current,0,0,0,0,,2022-10-01,CoreLogic,Complete,Current,0,0,0,0,0,
LN0000025,3,2022-11,2022-08,3,357,226606.0,225918.95,5.947,740-779,80-90%,<20%,GA,Purchase,Primary,Condo,Servicer_A,Current,0,0,0,0,,2022-11-01,CoreLogic,Complete,Current,0,0,0,0,0,
LN0000025,4,2022-12,2022-08,4,356,226606.0,225687.67,5.947,740-779,80-90%,<20%,GA,Purchase,Primary,Condo,Servicer_A,Current,0,0,0,0,,2022-12-01,CoreLogic,Complete,Current,0,0,0,0,0,
LN0000036,1,2022-09,2022-08,1,179,185472.0,184833.81,5.992,<620,80-90%,36-43%,PA,Purchase,Primary,Manufactured,Servicer_B,Current,0,0,0,0,,2022-09-01,Encompass,Under Exception,Current,0,0,0,0,0,
